"","api_uri","district","domain","dw_nominate","facebook_account","facebook_id","first_name","id","ideal_point","last_name","middle_name","missed_votes_pct","next_election","party","rss_url","seniority","state","thomas_id","twitter_account","url","votes_with_party_pct"
"314","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000595.json","14","peters.house.gov","-0.25","RepGaryPeters","88851604323","Gary","P000595","-0.606513783","Peters",NA,"2.52","2014","D","http://peters.house.gov/youtube-video-feed/youtube-video-feed/","6","MI","1929","RepGaryPeters","http://peters.house.gov/","85.92"
"315","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000596.json","80","pierluisi.house.gov","","","","Pedro","P000596","","Pierluisi",NA,"0.00","2014","D","","6","PR","1953","pedropierluisi","http://pierluisi.house.gov/","0.00"
"316","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000597.json","1","pingree.house.gov","-0.497","ChelliePingree","91529332807","Chellie","P000597","-1.533310819","Pingree",NA,"4.41","2014","D","http://pingree.house.gov/index.php?format=feed&amp;type=rss","6","ME","1927","chelliepingree","http://pingree.house.gov/","94.07"
"317","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000598.json","2","polis.house.gov","-0.327","jaredpolis","53481427529","Jared","P000598","-0.667750943","Polis",NA,"6.55","2014","D","http://polis.house.gov/news/rss.aspx","6","CO","1910","RepPolisPress","http://polis.house.gov/","88.81"
"318","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000599.json","8","posey.house.gov","0.743","bill.posey15","100000080395369","Bill","P000599","0.686909096","Posey",NA,"0.50","2014","R","http://posey.house.gov/news/rss.aspx?DocumentTypeID=1487","6","FL","1915","congbillposey","http://posey.house.gov/","92.53"
"319","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000601.json","4","palazzo.house.gov","0.596","stevenpalazzo","186908658003781","Steven","P000601","1.057004918","Palazzo",NA,"2.52",NA,"R","","4","MS","2035","congpalazzo","http://palazzo.house.gov/","94.70"
"320","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000602.json","4","pompeo.house.gov","0.828","CongressmanPompeo","101965369880683","Mike","P000602","1.239637903","Pompeo",NA,"1.13",NA,"R","http://pompeo.house.gov/news/rss.aspx","4","KS","2022","repmikepompeo","http://pompeo.house.gov/","96.31"
"321","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000604.json","10","payne.house.gov","-0.489","DonaldPayneJr","360976767343741","Donald","P000604","-1.293998914","Payne Jr.","M.","3.65",NA,"D","http://payne.house.gov/rss.xml","4","NJ","2097","RepDonaldPayne","http://payne.house.gov/","93.73"
"322","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000605.json","4","perry.house.gov","0.812","Rep.ScottPerry","376801102416184","Scott","P000605","1.155675906","Perry",NA,"0.63",NA,"R","http://perry.house.gov/rss.xml","2","PA","2157","RepScottPerry","http://perry.house.gov/","94.55"
"323","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000606.json","9","pittenger.house.gov","0.862","congressmanpittenger","376142742468386","Robert","P000606","1.143810135","Pittenger",NA,"5.04",NA,"R","http://pittenger.house.gov/rss.xml","2","NC","2141","RepPittenger","http://pittenger.house.gov/","93.10"
"324","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000607.json","2","pocan.house.gov","-0.629","repmarkpocan","436881033058309","Mark","P000607","-2.081508638","Pocan",NA,"0.25",NA,"D","http://pocan.house.gov/rss.xml","2","WI","2171","repmarkpocan","http://pocan.house.gov/","94.82"
