"city","dma_code","latitude","longitude","region","slug"
"Omaha","652","41.254006","-95.999258","NE","omaha-ne"
"PalmSprings","804","33.8302961","-116.5452921","CA","palm-springs-ca"
"PanamaCity","656","30.1588129","-85.6602058","FL","panama-city-fl"
"Parkersburg","597","39.2667418","-81.5615135","WV","parkersburg-wv"
"Pensacola","686","30.421309","-87.2169149","FL","pensacola-fl"
"Pensacola","686","30.421309","-87.2169149","FL","pensacola-fl"
"Petersburg","556","37.2279279","-77.4019267","VA","petersburg-va"
"Philadelphia","504","39.952335","-75.163789","PA","philadelphia-pa"
"Phoenix","753","33.4483771","-112.0740373","AZ","phoenix-az"
"PineBluff","693","34.2284312","-92.0031955","AR","pine-bluff-ar"
"Pittsburg","603","37.410884","-94.70496","KS","pittsburg-ks"
"Pittsburgh","508","40.4406248","-79.9958864","PA","pittsburgh-pa"
"Plattsburgh","523","44.6994873","-73.4529124","NY","plattsburgh-ny"
"Pocatello","758","42.8713032","-112.4455344","ID","pocatello-id"
"PortArthur","692","29.8849504","-93.939947","TX","port-arthur-tx"
"Portland","820","45.5234515","-122.6762071","OR","portland-or"
"PresqueIsle","552","46.681153","-68.0158615","ME","presque-isle-me"
"Pueblo","752","38.2544472","-104.6091409","CO","pueblo-co"
"RapidCity","764","44.0805434","-103.2310149","SD","rapid-city-sd"
"Redding","868","40.5865396","-122.3916754","CA","redding-ca"
"Reno","811","39.5296329","-119.8138027","NV","reno-nv"
"Rhinelander","705","45.6366228","-89.4120753","WI","rhinelander-wi"
"Riverton","767","43.0249592","-108.3801036","WY","riverton-wy"
"Rochester","538","43.1547845","-77.6155567","NY","rochester-ny"
"Rockford","610","42.2711311","-89.0939952","IL","rockford-il"
"Rogers","670","36.3320196","-94.1185366","AR","rogers-ar"
"Salinas","828","36.6777372","-121.6555013","CA","salinas-ca"
"Salisbury","576","38.3606736","-75.5993692","MD","salisbury-md"
"SaltLakeCity","770","40.7607793","-111.8910474","UT","salt-lake-city-ut"
"SanAngelo","661","31.4637723","-100.4370375","TX","san-angelo-tx"
"SanAntonio","641","29.4241219","-98.4936282","TX","san-antonio-tx"
"SanDiego","825","32.7153292","-117.1572551","CA","san-diego-ca"
"SanJose","807","37.3393857","-121.8949555","CA","san-jose-ca"
"SanLuisObispo","855","35.2827524","-120.6596156","CA","san-luis-obispo-ca"
"SantaFe","790","35.6869752","-105.937799","NM","santa-fe-nm"
"Sarasota","539","27.3364347","-82.5306527","FL","sarasota-fl"
"Savannah","507","32.0835407","-81.0998342","GA","savannah-ga"
"Scottsbluff","759","41.86714","-103.660709","NE","scottsbluff-ne"
"Scranton","577","41.408969","-75.6624122","PA","scranton-pa"
"Selma","698","32.4073589","-87.0211007","AL","selma-al"
"Shreveport","612","32.5251516","-93.7501789","LA","shreveport-la"
"SierraVista","789","31.5455001","-110.2772856","AZ","sierra-vista-az"
"SiouxCity","624","42.4999942","-96.4003069","IA","sioux-city-ia"
"SiouxFalls","725","43.5499749","-96.700327","SD","sioux-falls-sd"
"Spokane","881","47.6587802","-117.4260466","WA","spokane-wa"
"Springfield","619","37.215326","-93.2982436","MO","springfield-mo"
"Springfield","648","39.8403147","-88.9548001","IL","springfield-il"
"St.Joseph","638","39.7577778","-94.8363889","MO","st-joseph-mo"
"St.Louis","609","38.646991","-90.224967","MO","st-louis-mo"
"St.Paul","613","44.944167","-93.086075","MN","st-paul-mn"
"St.Petersburg","539","27.782254","-82.667619","FL","st-petersburg-fl"
"Steubenville","554","40.3697905","-80.6339638","OH","steubenville-oh"
"Superior","676","46.7207737","-92.1040796","WI","superior-wi"
"Sweetwater","662","32.4709519","-100.4059384","TX","sweetwater-tx"
"Syracuse","555","43.0481221","-76.1474244","NY","syracuse-ny"
"Tacoma","819","47.2528768","-122.4442906","WA","tacoma-wa"
"TerreHaute","581","39.4667034","-87.4139092","IN","terre-haute-in"
"Thomasville","530","30.8365815","-83.9787808","GA","thomasville-ga"
"Toledo","547","41.6639383","-83.555212","OH","toledo-oh"
"Topeka","605","39.0483336","-95.6780371","KS","topeka-ks"
"Troy","532","42.7284117","-73.6917851","NY","troy-ny"
"Tucson","789","32.2217429","-110.926479","AZ","tucson-az"
"Tulsa","671","36.1539816","-95.992775","OK","tulsa-ok"
"TwinFalls","760","42.5629668","-114.4608711","ID","twin-falls-id"
"Utica","526","43.100903","-75.232664","NY","utica-ny"
"ValleyCity","724","46.9233129","-98.0031547","ND","valley-city-nd"
"Victoria","626","28.8052674","-97.0035982","TX","victoria-tx"
"Visalia","866","36.3302284","-119.2920585","CA","visalia-ca"
"WashingtonDC","511","38.8951118","-77.0363658","MD","washington-dc-md"
"Washington","545","35.5465517","-77.0521742","NC","washington-nc"
"Watertown","549","43.9747838","-75.9107565","NY","watertown-ny"
"WestPoint","673","33.6076186","-88.6503254","MS","west-point-ms"
"Weston","598","39.0384274","-80.467313","WV","weston-wv"
"WichitaFalls","627","33.6953791","-98.3088441","OK","wichita-falls-ok"
"Williston","687","48.1469683","-103.6179745","ND","williston-nd"
"Wilmington","550","34.2257255","-77.9447102","NC","wilmington-nc"
"WinstonSalem","518","36.0998596","-80.244216","NC","winston-salem-nc"
"York","566","39.9625984","-76.727745","PA","york-pa"
"Youngstown","536","41.0997803","-80.6495194","OH","youngstown-oh"
"Zanesville","596","39.9403453","-82.0131924","OH","zanesville-oh"
